"","gender_race","renda_media_hab","renda_media_efe","massa_hab","massa_efe","tx_desocup","pea_fac","gini_hab","gini_efe","Ano_trimestre"
"140","Homem Branco",5011.00996447546,4762.69996607416,90280055786.8552,85806418602.5297,0.0788034856942499,0.828336234028434,0.523613820841092,0.548034457570793,"2020T3"
"141","Mulher Negra",2110.8468283449,2123.54712572964,31953782385.1547,32146038181.9322,0.158049294947109,0.575741202425065,0.442591750133943,0.466144976042415,"2020T4"
"142","Homem Negro",2652.48514541802,2671.13051138139,60736625116.0734,61163566848.2921,0.105866194598465,0.822738880092407,0.439685713529798,0.466653339164623,"2020T4"
"143","Mulher Branca",3699.10380086172,3756.4991871857,53997491352.3492,54835317767.4858,0.110678338993879,0.633867191341514,0.491623533248912,0.510406440236238,"2020T4"
"144","Homem Branco",4779.77565410717,4782.70576122192,89353521436.9735,89408297101.7405,0.0737145572539054,0.84116330497717,0.514799316952576,0.533388883897715,"2020T4"
"145","Mulher Negra",2120.61282429789,2258.39287766619,31817065041.0548,33884277343.6262,0.179448723608332,0.581715678157786,0.436289239777579,0.474943798801178,"2021T1"
"146","Homem Negro",2642.16596161749,2785.08906553431,61183469116.9916,64493076250.5443,0.106898874840606,0.829930516205779,0.446288813847787,0.486665265276315,"2021T1"
"147","Mulher Branca",3591.22961928509,3883.66309966684,51885027354.6073,56110020111.2751,0.114092959522837,0.63088300344685,0.491098202366175,0.52189782559617,"2021T1"
"148","Homem Branco",4749.80206026724,5031.00198497265,89120469256.5313,94396619489.0395,0.077506254210469,0.847118225190604,0.520379529566981,0.54570965328594,"2021T1"
"149","Mulher Negra",2079.96588253923,2073.71090684483,32233995331.2552,32137059675.2317,0.166491410233664,0.587892487594992,0.443039292744288,0.466375649762995,"2021T2"
"150","Homem Negro",2590.30941614603,2574.65502574564,60821617462.0219,60454045411.1312,0.100513433962828,0.833648646988341,0.445729989240135,0.472722927345785,"2021T2"
"151","Mulher Branca",3492.61558180298,3478.42899518963,51353539736.1844,51144947802.0577,0.114412051459733,0.642376302947908,0.491050156178517,0.509235107943368,"2021T2"
"152","Homem Branco",4560.94494510785,4619.00820909879,86978197576.2938,88085476464.3552,0.0753444503262043,0.857283404935456,0.509003925258185,0.531706389375358,"2021T2"
"153","Mulher Negra",2021.62959798823,2042.60703219406,32973646660.9699,33315797618.8135,0.151494536224229,0.603302125455042,0.440341122261088,0.465899369440194,"2021T3"
"154","Homem Negro",2538.34783976365,2547.35684968771,61972331152.7883,62192281049.9719,0.0840438279687855,0.841199879092513,0.444519340941042,0.469410791214614,"2021T3"
"155","Mulher Branca",3392.78667665887,3435.14601097109,51687504833.6016,52332829313.3497,0.0968338437069166,0.655912188871932,0.492565180245947,0.511542361772626,"2021T3"
"156","Homem Branco",4401.80848635114,4422.94765358268,84938829409.5223,85346738141.787,0.0629412856080517,0.860573420423478,0.508659103410537,0.524992794726131,"2021T3"
"157","Mulher Negra",1979.32872909426,2043.91326098596,33623311386.4894,34720423652.1914,0.132661569817502,0.608777115321157,0.437958652531051,0.460651732747465,"2021T4"
"158","Homem Negro",2513.62746137754,2578.92681324447,62740575264.8259,64370458357.4883,0.0743818955959882,0.846138945044663,0.443989717705335,0.468322545249976,"2021T4"
"159","Mulher Branca",3260.56648947494,3386.81768406179,51333069451.9467,53320718334.7521,0.0835953260423689,0.670386150141714,0.486432650802271,0.502676715669622,"2021T4"
"160","Homem Branco",4214.83049405687,4342.79476042957,81985173372.7223,84474282384.0746,0.0540578523462908,0.862028126837582,0.497425469704467,0.512210944130857,"2021T4"
"161","Mulher Negra",2023.31178735129,2244.3598061079,34596782085.769,38376501149.9398,0.130901473153121,0.605332847664925,0.430188648881085,0.475576579185145,"2022T1"
"162","Homem Negro",2538.09646593258,2735.10467726275,62767097446.8429,67639108327.582,0.0787312926313148,0.838336379655519,0.434074643730128,0.472748791691629,"2022T1"
"163","Mulher Branca",3272.65520141207,3640.78863614866,50859439518.4291,56580500554.9289,0.0812134924146256,0.6620553497518,0.472857907535399,0.504768891107233,"2022T1"
"164","Homem Branco",4283.86403413768,4702.04291196427,83521221275.3931,91674330316.5116,0.0530170730502586,0.861008369209033,0.493601486898115,0.522556168883057,"2022T1"
"165","Mulher Negra",2017.81220952496,2035.3153175305,35992481540.0204,36304691114.7314,0.108625745492192,0.615027908436685,0.430946692797079,0.452616018586014,"2022T2"
"166","Homem Negro",2530.20401905149,2555.6088841897,64066118274.0967,64709383039.478,0.0627261580564673,0.841781642784172,0.434418865346743,0.45918205218004,"2022T2"
